! Name of species
H2O
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.500e+01    1.000e+02    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.733e-09    1.443e-08    1.545e-08
    1.000e+02    1.500e+01    1.000e+02    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    3.162e+02    1.000e-03    5.000e-17    1.490e-13    1.021e-13    3.188e-14    1.201e-14    1.361e-14
    1.000e+02    1.500e+01    3.162e+02    1.000e-02    5.000e-17    1.708e-13    1.501e-13    9.952e-14    3.101e-14    1.242e-14
    1.000e+02    1.500e+01    3.162e+02    1.000e-01    5.000e-17    2.267e-13    2.166e-13    1.892e-13    1.328e-13    6.371e-14
    1.000e+02    1.500e+01    3.162e+02    3.162e-01    5.000e-17    3.992e-13    3.898e-13    3.640e-13    3.105e-13    2.428e-13
    1.000e+02    1.500e+01    3.162e+02    1.000e+00    5.000e-17    2.629e-08    2.354e-12    1.851e-12    1.745e-12    1.647e-12
    1.000e+02    1.500e+01    3.162e+02    3.162e+00    5.000e-17    2.736e-09    2.761e-09    2.788e-09    2.789e-09    2.756e-09
    1.000e+02    1.500e+01    3.162e+02    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.732e-09    1.441e-08    1.433e-08
    1.000e+02    1.500e+01    3.162e+02    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    1.000e+03    1.000e-03    5.000e-17    1.671e-14    4.398e-15    4.866e-16    5.377e-16    5.381e-16
    1.000e+02    1.500e+01    1.000e+03    1.000e-02    5.000e-17    2.567e-14    1.726e-14    4.751e-15    5.198e-16    5.732e-16
    1.000e+02    1.500e+01    1.000e+03    1.000e-01    5.000e-17    3.960e-14    3.546e-14    2.547e-14    1.043e-14    1.553e-15
    1.000e+02    1.500e+01    1.000e+03    3.162e-01    5.000e-17    8.137e-14    7.720e-14    6.657e-14    4.768e-14    2.675e-14
