! Name of species
CO
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.500e+01    3.162e+00    1.000e-01    5.000e-17    3.409e-05    5.721e-06    2.744e-07    5.292e-10    5.141e-10
    1.000e+02    1.500e+01    3.162e+00    3.162e-01    5.000e-17    6.626e-05    4.569e-05    1.418e-05    5.109e-07    2.759e-09
    1.000e+02    1.500e+01    3.162e+00    1.000e+00    5.000e-17    7.812e-05    7.700e-05    7.333e-05    6.235e-05    3.508e-05
    1.000e+02    1.500e+01    3.162e+00    3.162e+00    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.229e-05    5.874e-05
    1.000e+02    1.500e+01    3.162e+00    1.000e+01    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    3.162e+00    1.000e+02    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    1.000e+01    1.000e-03    5.000e-17    1.713e-08    1.708e-08    1.516e-11    1.368e-11    1.061e-11
    1.000e+02    1.500e+01    1.000e+01    1.000e-02    5.000e-17    3.985e-08    2.821e-08    2.586e-11    2.443e-11    2.193e-11
    1.000e+02    1.500e+01    1.000e+01    1.000e-01    5.000e-17    5.652e-06    1.035e-07    9.257e-11    8.849e-11    8.452e-11
    1.000e+02    1.500e+01    1.000e+01    3.162e-01    5.000e-17    4.595e-05    1.443e-05    4.542e-07    5.050e-10    4.807e-10
